Comment,VADER Sentiment,TextBlob Sentiment,Pattern Sentiment
"shut up pleas, dont argue with the $science, now give u your money and freedom! clown face globe showing Americas",Positive,Neutral,Neutral
"and remember, it's your fault,with your foggy wet paper straw...",Neutral,Negative,Negative
i thought africa needed more water,Neutral,Positive,Positive
"if there is one place on the planet where we can block the sun, it would be antarctica.",Negative,Neutral,Neutral
"isn't the edge of the earth around somewhere there any way, so if the ice is becoming a problem we can just push it all off the edge.",Negative,Positive,Positive
just stop heating ! no?,Negative,Neutral,Neutral
"well, i guess the fat in the fire ---can't wait for fall and winter .. this earth ha always been a magical mystery we have no control over ..",Neutral,Positive,Positive
i got married in 1975 oct 25th it wa a hot sunny day glorious the same a oct in 2023 it wa maybe a little hotter in the north of england .the glacier are melting they always have since the ice age it is what ice doe it melts. the weather is all over the place that is because government like china / america are using chemical from plane leaving chem trail to disrupt weather pattern it a bio war against each other to disrupt country and sometimes they drift in the atmosphere over country that they were not intended for. the reason climate change wa voice is it raise tax against company i.e wrapping. waste. petrol anything that government can raise money on. wake up people get real stop being sheep led by the nose and following world government misinformation indoctrination.,Negative,Positive,Positive
"lie !!!!!! the future is cold, not hotter.....",Neutral,Negative,Negative
"global cooling, man made climate change, global warming, climate change, global boiling, and the next made up marxists word will be global melting. lol, all fake pushed by the fascist medium and governments..",Negative,Positive,Positive
total bull and fear wondering.,Negative,Neutral,Neutral
stop playing with our climate and it will go back to normal.,Negative,Positive,Positive
i dont care about climate change.,Negative,Neutral,Neutral
what about the gdp of new queensland??? Heard & McDonald Islands,Neutral,Positive,Positive
the truly ignorant are still saying it’s just the weather.,Positive,Neutral,Neutral
"the bronze age collapse, collapse of babylonian, persian, greek and roman civilizations, near extinction events, cyclical climate change, man made climate change, book of revelation and ancient doomsday genre and so forth might be aggregated a a field of study to make modern system more robust.the bronze age collapse, which occurred around 1200 bce, wa caused by a combination of several factors. while the exact reason may vary in different regions, some of the major contributing factor include invasion and migrations various groups, such a the sea peoples, invaded and attacked the established civilizations, causing widespread destruction and stabilization. internal unrest and conflicts many civilization faced internal struggles, including social unrest, economic disparities, and political upheaval, weakening their structure from within. economic disruptions the collapse of trade network and disruption in resource acquisition led to economic instability, affecting the prosperity of the ancient societies. climate change and natural disasters environmental factors, including droughts, famine, earthquakes, and other natural capacities, played a role in stabilizing society and making them more vulnerable to external pressures. collapse of centralized authority the fall of powerful empire and centralized authority left region fragmented and susceptible to external invasion and internal strife. technological shifts the advent of iron technology may have provided a competitive advantage to certain groups, leading to the decline of bronze-dependent civilizations. it's important to note that the bronze age collapse wa not a singular event but rather a complex and interconnected series of event that resulted in the decline and disappearance of several ancient civilizations. the specific combination and significance of these factor varied across different regions, leading to the end of the bronze age and shaping the subsequent history of the ancient world. partly copied from chatgpt...",Negative,Positive,Positive
your sure pantheon have nothing to do with this ? puzzle piece man struggling medium skin tone,Negative,Positive,Positive
there's been rainforest on antarctica once... change in climate have always occurred. stop this end of day hysteria and start adapt instead! thinking face,Negative,Neutral,Neutral
"@sky news - this need to be shouted from the rooftop. we are going to destroy civilization if we don't fix co2 emission asap. the amor collapse paper (gulf stream stopping) is pure nightmare fuel. europe would go back into an ice age. we need to stop climate change now or there will be no future, no humanity, civilization will collapse.",Negative,Positive,Positive
nice to see rob bryan’s slightly better-looking brother presenting for sky. thumbs up,Negative,Positive,Positive
and some people still deny climate change and many government are still expanding fossil fuel use. total insanity.,Negative,Positive,Positive
lowest temperature in 6 decade .record early winter temperature,Negative,Positive,Positive
how many time are people gonna freak out over these kind of predictions? over and over and over.,Negative,Positive,Positive
"more than 1,600 scientists, including two nobel laureates, declare climate 'emergency' a myth",Neutral,Positive,Positive
a scam to rob the wealthy country and dump vast amount of money to the poor countries. pure marxists.,Negative,Positive,Positive
"all this technology, scientists,can not find a solution to the greenhouse effect,and nasa want to conquer mars. first thing first, save earth ,where your child lives. crying face",Negative,Positive,Positive
"question arises, who & why this huge universe is made & human are given a central position into it. and then, where are all human going after death. & when mankind is given death, so the earth & the universe. & show we are approaching towards the mega *the end* by the creator of the universe. and definitely there we will find what wa the purpose of life. please, start search for the creator of the whole universe & what doe the creator of the universe want from us. all answer will be there, when we find our creator.",Negative,Positive,Positive
"un is completely corrupt, nothing the west doe will change the outcomes.",Neutral,Negative,Negative
along with the help of the galactic federation a well.,Positive,Neutral,Neutral
"just stop oil, extinction rebellion",Negative,Neutral,Neutral
take action save climate control carbon dioxide green deal now.,Positive,Negative,Negative
capitalism without any social purpose caused climate change.,Neutral,Positive,Positive
how can something that doesn’t exist be out of control? what doe exist and is most definitely out of control is climate hysteria.,Neutral,Positive,Positive
""" these are extreme ,,extreme days...we living, we living ,we living in extreme days..can't nobody stop it ? saint no body stop it """,Positive,Negative,Negative
"humanity a a whole is ok with the world getting worse for us, that's why there is hardly any action. only a handful of people took their responsibility and changed their behavior.",Negative,Positive,Positive
professional liar!,Negative,Positive,Positive
"meanwhile, in china and india, the completion of over 200 coal burning plant is due by the end of the year. the number of coal burning plant in the uk? 0",Positive,Negative,Negative
that's a lie. it is now the monsoon season in india and it is raining heavily,Neutral,Negative,Negative
every time the guardian put out a *story* like this i immediately go out and let my diesel truck idle on the drive for an hour,Positive,Neutral,Neutral
"erm, no. but on the positive side, it will give poppy, marquis and uncle files an excuse to practice their hobby of walking very slowly while wearing hi-viz.",Positive,Negative,Negative
"denying climate change is not a random opinion, those who deny it aim to worsen it and to encourage more disaster",Negative,Positive,Positive
the west that benefited from this climate change must own up to it!,Neutral,Positive,Positive
why are we not talking about the biggest poster china ? they operate 52 percent of all coal fired plant and is adding 10 percent more !!!! they are destroying the future for our kid ! source global coal plant tracker,Negative,Positive,Positive
"geo-engineering for the big large revenue model, the climathoax!!!!!!",Neutral,Positive,Positive
"there ha recently been the hottest day ever. not surprising, a this graph show that the entire earth ha warmed by 4 degree centigrade since january. the temperature of the earth on jan 1. 2023 wa 13.14 degree c and the temperature of the earth on july 7 2023 wa 17.20 degrees. which is a rise in global warming of 4.06 degree in only 6 months. that's a very frightening number.",Positive,Negative,Negative
"climate change is real, it been happening for 1000 of year. there is no stopping it. carbon tax, will never change the weather woman struggling",Negative,Positive,Positive
this isn't global warming it weather manipulation,Negative,Neutral,Neutral
climate change ha never been in our control except maybe locally. the earth is too large and we are too small. it only take one big volcano. or melting ice or ocean current change or weather pattern or...,Positive,Negative,Negative
there is no climate change whatsoever. this is all hogwash.,Negative,Neutral,Neutral
"i'm sure the massive contribution of co2 from the forest fire in canada have nothing to do with this, doesn't seem like anyone's worried about putting those out.",Negative,Positive,Positive
joke of the day. the brazilian oil company - petrobras announces that it ha started using a fully electric oil platform.,Positive,Neutral,Neutral
"this is simply nature - the climate is never static, always changing, and we must endure it, like all other creatures. climate change panic and alarming is what’s out of control - get a grip, get a real understanding of how the world works, stop existing in a state of constant fear, and focus your energy on something worthwhile.",Negative,Positive,Positive
there's nothing wrong with the planet the people are f&cken. george margin.,Positive,Negative,Negative
who us census? rolling on the floor laughing,Positive,Neutral,Neutral
"it is already too late, nothing can be done to save the situation.",Positive,Negative,Negative
antarctic sea ice at extreme low this time of year. hit lowest on record in feb. ocean temp at record highs. global average temp at record highs. right-wingers but what about my grand's back porch this morning?,Negative,Positive,Positive
"liars!!!!!!!!!!!!! abolish the un and all global mafia groups, like eu, ref, who etc...",Positive,Neutral,Neutral
"bullshit , up north in canada is getting colder and colder year after year , stop bullshit . once up north temperature is similar to hawaii then i believe the global is warming .",Negative,Neutral,Neutral
the end is high !! unless you buy more stuff we sell you salting face,Neutral,Positive,Positive
liar! liar!!!!!,Negative,Neutral,Neutral
this is a record for the last 44 years. their satellite monitoring began in 1979. just another headline to scare children.,Negative,Neutral,Neutral
the climate hysteria is out of control....there is no climate emergency.,Negative,Neutral,Neutral
"ethiopia set to plant half a billion seeding on july 17, 2023.",Neutral,Negative,Negative
willingly ignorant. it's why they want new math and history.power,Negative,Positive,Positive
"they know that the problem is the world population. they know in order for their be balance between mother nature and human there can only be 1.5 to 2 billion people living on earth at anyone given time. when we hit 3 billion people in 1970 we started the next ice age. since then the ball is been rolling getting faster and faster, if we stopped all the thing we are doing to cause the ball to go faster we would still enter into another full on ice age.",Negative,Positive,Positive
the earth will recover when human are extinct .,Neutral,Negative,Negative
oh my god the earth is not following useless man's plan,Positive,Negative,Negative
