Comment,sentiment
"shut up pleas, dont argue with the $science, now give u your money and freedom! clown face globe showing Americas",Positive
"sea level rise is already baked in, water front property for sale in seattle.",Neutral
"and remember, it's your fault,with your foggy wet paper straw...",Neutral
i never heard so much bullshit in my life…a recent study found at least 138 volcano under the ice in west antarctica maybe this might cause it to melt now and again??? climate bullshit,Negative
now what?,Neutral
can't we make it happen sooner? i won't be able to enjoy it after my lifetime.,Positive
look an brain --------------------------------------> brain,Neutral
so when will sea level start to rise?? we are all waiting for obama’s beach side mansion to fall into the ocean!!! grinding face with sweat grinding face with sweat grinding face with sweat,Neutral
"face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy who writes this follow, it's all lie lie lie",Positive
keep feeding the agenda laugh out loud,Positive
all i'm going to say is #climatescam,Neutral
ich bin begeistert von diesel creativityät! mouth,Neutral
let it melt let it melt let it melt face with tears of joy face with tears of joy face with tears of joy,Positive
wow! a whole report based around “could”. absolutely fantastic journalism.,Positive
i thought africa needed more water,Neutral
"1 57 ""they're getting increasingly confident in saying extreme weather event are intact due to man made climate change"" ""hear they don't know for sure"" ""but it's the fact there are so many other aspect of antarctica that's under stress seeing these extreme event that make them pretty confident"" face with tears of joy clipping hands what an oxymoron if i've ever heard one spoken broadcast on the news grinding face with sweat ""intact"" ""don't know for sure"" ""fact"" what a bunch of gobbledygook grinding quitting face",Positive
more ref crap from skynews.,Negative
good news.,Positive
funny i just looked and they say the sea ice ha been getting bigger over the last 40 year,Positive
"remember during covid, a news bos said once covid is over we’ll be pushing climate change",Neutral
not in our lifetime thumbs up medium skin tone good,Positive
the arctic circle ice ha grown 15 mile in the past 20 years. don’t believe the global warming scare wondering,Negative
"absolute garbage, it'll all be frozen back over in the next few month face with tears of joy",Positive
"if there is one place on the planet where we can block the sun, it would be antarctica.",Negative
"isn't the edge of the earth around somewhere there any way, so if the ice is becoming a problem we can just push it all off the edge.",Negative
"do people really believe this utter nonsense ? looking at the dramatic downturn in sky news figures, possibly not",Negative
emphasis on weasel word 'may'....,Neutral
"everyone enjoying the 'global boiling' and the 'climate change' this august in britain, enjoying that 15°c and non stop rain? if the these mainstream medium liar reported on water being wet i would still be skeptical and go double check myself. zero faith in these corporate puppets.",Positive
just stop heating ! no?,Negative
"oh, they don't have many weather station down there, so how did they measure average global temperature, which they reported last week wa the highest in 120,000 years? oh yeah, that's right, it wa based on a model!",Positive
"well, i guess the fat in the fire ---can't wait for fall and winter .. this earth ha always been a magical mystery we have no control over ..",Neutral
i got married in 1975 oct 25th it wa a hot sunny day glorious the same a oct in 2023 it wa maybe a little hotter in the north of england .the glacier are melting they always have since the ice age it is what ice doe it melts. the weather is all over the place that is because government like china / america are using chemical from plane leaving chem trail to disrupt weather pattern it a bio war against each other to disrupt country and sometimes they drift in the atmosphere over country that they were not intended for. the reason climate change wa voice is it raise tax against company i.e wrapping. waste. petrol anything that government can raise money on. wake up people get real stop being sheep led by the nose and following world government misinformation indoctrination.,Negative
"lie !!!!!! the future is cold, not hotter.....",Neutral
"i,m wondering if the planet ha an automatic cycle from image to a hot climate and that volcano become more active till a big one blast enough dust in the air that block sunlight to reset earth into new image...",Positive
how come tou never hear a sky news or any other news reporter breaking out over these fearing headlines? i mean surely if they are telling people constant bad news it must effect them mentally?,Negative
"global cooling, man made climate change, global warming, climate change, global boiling, and the next made up marxists word will be global melting. lol, all fake pushed by the fascist medium and governments..",Negative
"another climate propaganda video. antarctic ice sheet mass loss is about 90 gt/yr (osaka et al, 2023). it's total mass is 24 million gt, so it loses le than 0.0004% of it mass annually. it contributes 0.36mm to sea-level rise per year (that's pitiful). at the current rate it will take well over ¼ million year to melt, but we are due for two more glacial period in that time. the ice is here to stay.",Negative
total bull and fear wondering.,Negative
stop playing with our climate and it will go back to normal.,Negative
"about time people realised this,plus a the ice melt it release methane which i worse than carbon.",Negative
"if so much ice ha melted, where’s the water level rise for this year?",Positive
"yeah alot of talk for many year about a possible blue ocean event in the arctic, but it seems like we will have a blue ocean event in the antarctica first, and it could happen already next year. the sea ice for this time of the year is like 1,8 million of square kilometer sea ice lesser than last year, if that hold up til march next year, than the it is not just a blue ocean event we will see, the sea ice will then be completely gone. but we are not there yet, but a blue ocean seems very likely next year, it feel more like with how big of a margin it will be a blue ocean event ( a blue ocean event is when it is lesser than 1 million of square kilometer sea ice).",Positive
i dont care about climate change.,Negative
what about the gdp of new queensland??? Heard & McDonald Islands,Neutral
most sci-fi film end up with some truth and i’m fairly confident the human race ha truly ruined it own eco system that the film “ day after tomorrow “ will eventually occur,Positive
the truly ignorant are still saying it’s just the weather.,Positive
"i'm perplexed what even wa that? next on sky news scientist say "" intact fire cold hot cold not sure but fact fire cold hot grinding face with sweat",Negative
antarctica face with tears of joy it doesn even exist face with tears of joy just a ice wall all the way around and the dome face with tears of joy #vibes of cosmos youtube.. red heart,Positive
"the biggest thing heating up the ground temp is our black road and roof make them all while/light grey and it will reflect more of the sun just like the ice caps, cant believe this hasn been talked about at all",Positive
"the bronze age collapse, collapse of babylonian, persian, greek and roman civilizations, near extinction events, cyclical climate change, man made climate change, book of revelation and ancient doomsday genre and so forth might be aggregated a a field of study to make modern system more robust.the bronze age collapse, which occurred around 1200 bce, wa caused by a combination of several factors. while the exact reason may vary in different regions, some of the major contributing factor include invasion and migrations various groups, such a the sea peoples, invaded and attacked the established civilizations, causing widespread destruction and stabilization. internal unrest and conflicts many civilization faced internal struggles, including social unrest, economic disparities, and political upheaval, weakening their structure from within. economic disruptions the collapse of trade network and disruption in resource acquisition led to economic instability, affecting the prosperity of the ancient societies. climate change and natural disasters environmental factors, including droughts, famine, earthquakes, and other natural capacities, played a role in stabilizing society and making them more vulnerable to external pressures. collapse of centralized authority the fall of powerful empire and centralized authority left region fragmented and susceptible to external invasion and internal strife. technological shifts the advent of iron technology may have provided a competitive advantage to certain groups, leading to the decline of bronze-dependent civilizations. it's important to note that the bronze age collapse wa not a singular event but rather a complex and interconnected series of event that resulted in the decline and disappearance of several ancient civilizations. the specific combination and significance of these factor varied across different regions, leading to the end of the bronze age and shaping the subsequent history of the ancient world. partly copied from chatgpt...",Negative
course it will......,Neutral
your sure pantheon have nothing to do with this ? puzzle piece man struggling medium skin tone,Negative
there's been rainforest on antarctica once... change in climate have always occurred. stop this end of day hysteria and start adapt instead! thinking face,Negative
"@sky news - this need to be shouted from the rooftop. we are going to destroy civilization if we don't fix co2 emission asap. the amor collapse paper (gulf stream stopping) is pure nightmare fuel. europe would go back into an ice age. we need to stop climate change now or there will be no future, no humanity, civilization will collapse.",Negative
nice to see rob bryan’s slightly better-looking brother presenting for sky. thumbs up,Negative
and some people still deny climate change and many government are still expanding fossil fuel use. total insanity.,Negative
"and now, the end is near and so i face the final curtain my friends, i'll say it clear i'll state my case of which i'm certain i've lived a life that's full i traveled each and every highway but more, much more than this i did it my way.",Positive
lowest temperature in 6 decade .record early winter temperature,Negative
how many time are people gonna freak out over these kind of predictions? over and over and over.,Negative
